style;color;name;image_url;description;season
25AW213500;BFG;HIGHLINE32CZ (BFG);;"HIGHLINE
__Exterior fabric:__ CHAMPION STRETCH - 93.2% Recycled Nylon
6.8% Elastane
__Foam Type:__ LEVIPRENE
__Interior Fabric:__ PRIMALOFT STRETCH - 50% Recycled Polyester
50% PrimaLoft Recycled Polyester
__Body type:__ Long Sleeve Full Suit
__Thickness:__ 3/2mm
__Entry system:__ Horizontal Front Zip
__Seam Detail - Exterior:__ GBS
__Seam Detail - Interior:__ nT Reinforcement Tape and High Stress Point Melco Spot Tape
Glue Details Aqua Alpha - Water Based";261
25AW213510;GNB0;ESESSIONS32CZ (GNB0);;"__Collection:__ EVERYDAY SESSIONS
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ PRIMALOFT¨ BIOT WARM - 37% Polyester, 7% Recycled Spandex, 56% PrimaLoft Recycled Polyester
PRIMALOFT¨ BIOT STRETCH - 50% Recycled Polyester, 50% PrimaLoft Recycled Polyester
ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 3/2mm
__Entry:__ Chest zip entry
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
25AW213514;BLK;PROL+32BZFLT (BLK);;"PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester
13% Recycled Elastane
__Foam Type:__ FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Body type:__ Long Sleeve Full Suit
__Thickness:__ 3/2mm
__Entry system:__ Back Zip
__Seam Detail - Exterior:__ Flatlock Stitch
__Seam Detail - Interior:__ : High Stress Point Melco Spot Tape
Glue Details Aqua Alpha - Water Based";261
25AW243501;RQC0;MERC SPRING FZ (RQC0);;"__Collection:__ MERCURY
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
25AW253501;GNB0;EDSESS2/2SSSPCZ (GNB0);;"__Collection:__ EVERYDAY SESSIONS
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
__Entry:__ Chest zip entry
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
25AW193514;BLK;1PROREEFRDTOE (BLK);;"__Collection:__ PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ Limestone based FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ PRIMALOFT STRETCH - 50% Recycled Polyester, 50% PrimaLoft Recycled Polyester
__Thickness:__ 1mm
__Entry:__ Arch Strap
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
EQYW303026;KVD0;2/2 PROL BZ (KVD0);;"__Collection:__ PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ Limestone based FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
__Entry:__ Back zip entry
Flatlock stitched seams - soft, flexible and durable
Interior Seam Detail: High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
EQYWP03011;KVD0;HLPRO IMPCT (KVD0);;"__Collection:__ HIGHLINE PRO IMPACT
__Foam Type:__ Limestone based STRETCH FLIGHT ECO NEOPRENE
Seam Details: Q-Lock seams
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
AQYBP03168;CRE0;GRENADE (CRE0);;"__Fabric:__ Recycled polyester fabric
__Compartments:__ Dual main compartments 
Back zipped computer compartment 
__Pockets:__ Multiple side pockets 
1 top pocket
__Straps:__ Ergonomic shoulder strap 
Skate strap
__Padding:__ Padded back Panel
__Dimensions:__ 18.5""[H] x 13.3"" [W] x 7.8"" [D] / 47 [H] x 34 [W] x 20 [D] cm
__Volume:__ 32 L capacity
__Branding:__ Front label 
__Other Features:__ Music port";261
AQYW403008;KVD0;ED 2/2 LS SP CZ (KVD0);;"__Collection:__ Mongrel Tongue collection
__Fabric:__ Nylon elastane blend fabric
__Neoprene foam:__ STRETCHFLIGHT ECO neoprene
__Seams:__ GBS (glued and blind stitched) seams for maximum flexibility and minimal water entry seams
__Thickness:__ 202mm thickness
__Entry system:__ Chest zip entry system
__Other Features:__ Key loop
AQUA GLUE eco friendly lamination
Recycled yarn";261
AQYW803041;KVD0;ORIGINAL VEST 1 (KVD0);;"Quiksilver Original
__Foam Type:__ Limestone based STRETCH FLIGHT ECO NEOPRENE
__Thickness:__ 1.5mm
Seam Details: Q-Lock seams
Laser cut drain holes
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";261
EQBW103114;RQC0;ED SESSIONS 3/2 (RQC0);;"__Neoprene:__ STRETCHFLIGHT ECO neoprene
__Lining:__ WARMFLIGHT ECO VELVET zoned thermal lining
__Seams:__ GBS external seams
Zoned taped internal seams
__Entry:__ Back zip entry
__Other:__ Key loop
AQUA GLUE eco friendly lamination
Download [Declaration Of Conformity](https://cdn.napali.app/static/global/certificates/WETSUIT/243_QS_WETSUITS_Declaration_de_conformite_EPI_type_II.pdf)";261
EQKW503004;GZE0;22 PRO K SS SP (GZE0);;"__Neoprene:__ Freemax neoprene coupled with STRETCHFLIGHT neoprene
__Seams:__ Flat Lock external seams
__Entry:__ Back zip entry
__Other:__ AQUA GLUE eco friendly lamination";261
AQBW803009;RQC0;ED SESSIONS 1.5 (RQC0);;"__Fabric:__ 83% Recycled nylon 17% elastane blend fabric
__Neoprene foam:__ StretchFlight Eco neoprene
__Seams:__ Q-Lock external seams
__Neck:__ Mock neck
__Sleeves:__ Long sleeves
__Closure:__Pullover closure
__Other Features:__ Key loop
Aqua Glue eco friendly lamination
Recycled yarn";261
EQBFT03890;KTP0;BASICHOODZIPYTH (KTP0);;"__Fabric:__ Cotton polyester blend fabric
__Neck:__ Hooded neck
__Sleeves:__ Long sleeves
__Pockets:__ Kangaroo pouch pockets";261
EQYKT04391;KVJ0;SLUB ROUNDNECK (KVJ0);;"__Fabric:__ Cotton slub
__Fit:__ Regular fit
Rib collar
Chest embroidery
Quiksilver recycled woven label";261
EQYKT04391;WBK0;SLUB ROUNDNECK (WBK0);;"__Fabric:__ Cotton slub
__Fit:__ Regular fit
Rib collar
Chest embroidery
Quiksilver recycled woven label";261
EQWX403139;PKS0;RIVA BOTTOM (PKS0);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Cheeky coverage
Small bottom Coverage
All-over print one side
Solid on reverse side
Embroidery on centre back";261
EQWX103080;BLC0;VENIZA OP (BLC0);;"__Fabric:__ Recycled nylon elastane [170 g/m2]
__Lining:__ Recycled polyester and elastane blend
__Fit:__ Sporty one piece fit
Adjustable straps
Quiksilver HD screenprint on centre front
Removable padding";261
EQWX303147;GNZ6;RIVA TOP (GNZ6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Bra fit
Non removable Soft Cup padding
Non adjustable shoulder straps
Reversible top one side
All-over printed design one side, solid colour on the other
Woven label clamped on armhole

";261
EQWX303148;KVJ0;MELLY TOP (KVJ0);;"__Fabric:__ Recycled Nylon Elastane [155 g/m2]
Seersucker texture
__Lining:__ Polyester elastane blend lining
__Fit:__ V band top
Removable padding
Adjustable straps
Quiksilver woven clamp label on left armhole";261
EQWX403135;CMK3;CLICKITY CLACK  (CMK3);;"__Fabric:__ Recycled polyester Elastane [260 g/m2]
__Lining:__ Polyester elastane blend lining
__Shape:__ Tie-side shape
Adjustable tie sides
Striped yarn-dyed
Embroidery on centre back";261
EQWX403140;KVJ0;MELLY BOTTOM (KVJ0);;"__Fabric:__ Recycled Nylon Elastane [155 g/m2]
Seersucker texture
__Lining:__ Polyester elastane blend lining
__Fit:__ High waist
Full coverage bottoms
Embroidery on centre back";261
